Lake;Experiment;TP ;Chla ;DOC;Temperature;Chla_flu;PAR_I;PAR_II;PAR_III;TN
Erken;1;12.35;0.73269;NA;16.73;Jan 36;160;108;60;0.4785
Erken;1;16.65;24.867;NA;16.93;Mär 17;102;68;54;0.5364
Erken;1;23.98;134.343;NA;16.79;Jan 63;162;134;70;0.4745
Erken;1;14.58;206.154;NA;16.68;Feb 15;161;123;50;0.4984
Erken;1;14.52;103.806;NA;16. Sep;Jan 25;123;93;51;0.521
Erken;1;16.11;227.412;NA;16.58;Feb 15;107;57;24;0.5335
Erken;1;14.25;0.93141;NA;16.81;Jan 27;70;21;13;0.4884
Erken;1;14.52;236.619;NA;16.96;Feb 93;50;30;14;0.4818
Erken;1;16.3;0.82476;NA;16.93;0.83;80;50;31;0.4672
Erken;1;15.11;145.008;NA;16.96;0.7;591;328;150;0.4712
Erken;1;15.77;103.806;NA;16.42;Jan 45;290;240;"
118";0.498
Erken;1;15.63;155.601;NA;16.42;Feb 32;316;230;120;0.5383
Erken;1;13.51;0.83862;NA;16.32;0.99;185;96;42;0.4863
Erken;1;14.33;175.545;NA;16.57;Feb 86;210;110;50;0.4806
Erken;1;15.3;0.51939;NA;16.55;Jan 41;153;111;50;0.4664
Erken;1;14.9;0.53325;NA;16.63;Jan 67;120;57;24;0.4755
Erken;1;12.55;0.33453;NA;16.45;0.71;219;120;77;0.4765
Erken;1;11.97;0.53325;NA;16.29;01. Apr;203;115;57;0.4724
Erken;1;16.1;176.931;NA;16.71;03. Jun;110;74;24;0.4849
Erken;1;22.67;0.73269;NA;16.53;01. Nov;215;97;47;0.5237
Erken;1;15.46;135.729;NA;16.47;Jan 73;203;120;62;0.5461
Erken;1;14.71;0.6399;NA;16.51;Jan 15;113;66;35;0.5297
Erken;1;17.22;175.545;NA;16.23;Jan 65;218;127;62;0.5088
Erken;1;15.79;0.6399;NA;16.55;01. Mär;119;70;33;0.4549
Erken;1;14.44;145.008;NA;16.62;Feb 47;160;62;24;0.4958
Erken;1;15.62;0.51939;NA;16.54;0.57;211;124;58;0.4686
Erken;1;17.29;0.42732;NA;16.77;0.7;488;317;154;0.5245
Erken;1;14.78;0.9149625;NA;16.85;0.62;1330;300;136;0.6009
Erken;1;14.4;0.9158625;NA;16. Aug;0.55;1237;256;128;0.5847
Erken;1;13.32;0.4181625;NA;17. Jul;0.73;1109;146;68;0.4868
Erken;1;13,00;0.9158625;NA;16.94;Jan 13;635;150;76;0.5304
Erken;1;13.86;0.28485;NA;16.89;0.64;626;150;86;0.5689
Erken;1;13.86;0.28485;NA;16.92;0.73;310;135;71;0.4731
Erken;1;13.13;0.1524375;NA;16.92;0.41;1340;273;147;0.4715
Erken;1;13.01;0.4181625;NA;16.94;0.63;1336;285;175;0.5126
Erken;1;15.43;1.048.275;NA;17;01. Mai;500;150;72;0.5276
Erken;1;20,00;0.6674625;NA;17. Mai;0.64;1480;301;169;0.5138
Erken;1;14.04;0.28485;NA;16.92;0.4;1412;278;152;0.5288
Erken;1;13.48;0.4008375;NA;17. Mai;0.69;503;175;85;0.485
Erken;1;14.29;0.799875;NA;16. Sep;0.53;1370;266;147;0.5092
Erken;1;14.08;0.6674625;NA;17. Feb;0.98;610;142;76;0.4148
Erken;1;13.77;15.642;NA;17. Jan;Feb 35;618;150;75;0.519
Erken;1;12.54;0.515025;NA;16.98;0.41;1466;320;191;0.4799
Erken;1;16.81;15.642;NA;17.77;0.81;1202;903;698;0.4945
Erken;1;17.22;0.62604;Dez 37;17.84;01. Dez;240;188;82;0.5613
Erken;1;16.69;0.82476;Dez 77;17.85;02. Mai;250;140;73;0.5469
Erken;1;16.73;0.4266;12. Jun;18. Jun;0.86;129;83;37;0.5165
Erken;1;15.35;0.53325;12. Aug;18. Apr;0.35;178;97;46;0.4949
Erken;1;17.39;0.53397;11. Mai;17. Sep;Jan 22;112;78;37;0.4912
Erken;1;15.39;0.73269;Nov 72;18. Feb;0.91;202;138;54;0.4833
Erken;1;15.41;0.33525;Dez 54;17. Sep;0.41;395;264;143;0.5149
Erken;1;15.65;0.6399;Dez 31;18. Feb;0.76;380;300;138;0.5193
Erken;1;22.98;0.74655;12. Aug;18.14;01. Feb;186;116;66;0.497
Erken;1;20.89;145.008;Nov 85;17.97;Jan 54;402;310;143;0.5582
Erken;1;16.32;125.136;Dez 26;17.89;Jan 27;416;270;140;0.5689
Erken;1;14.41;0.42732;Dez 14;18. Jan;0.82;192;101;48;0.5063
Erken;1;18.93;134.343;Dez 33;17.77;Feb 36;280;191;104;0.514
Erken;1;18.56;0.6399;Nov 54;18. Feb;Jan 94;184;109;49;0.4933
Erken;1;17.32;289.944;11. Aug;17.99;Mär 63;175;121;45;0.4957
Erken;1;22.09;0.74655;12. Jun;17.78;01. Apr;325;240;121;0.5205
Erken;1;17.85;392.364;Nov 56;18. Jul;Jan 45;1037;540;350;0.5069
Erken;2;19.95;734.175;Nov 64;18.47;Jan 95;195;141;57;0.5512
Erken;2;21.49;464.031;Nov 63;18.47;Feb 25;182;110;48;0.5647
Erken;2;21.94;57.843;Dez 23;18.47;Feb 41;193;130;49;0.5994
Erken;2;18.73;940.257;Nov 88;18.48;Jan 93;130;100;28;0.6355
Erken;2;25.76;587.709;Nov 65;18.46;03. Jun;155;105;42;0.6085
Erken;2;22.05;773.919;Nov 71;18.51;02. Feb;182;132;50;0.6407
Erken;2;27.72;525.177;Nov 46;18.58;Jan 93;204;151;50;0.6156
Erken;2;21.06;5.373;Nov 99;18.54;Jan 96;205;162;58;0.6302
Erken;2;21.32;76.464;Nov 51;18.59;Feb 24;213;141;60;0.6075
Erken;2;18.36;650.241;Nov 85;18.65;Jan 74;213;144;53;0.5944
Erken;2;19.5;671.571;Nov 57;18.59;02. Jul;202;143;58;0.5919
Erken;2;19.87;639.576;Dez 47;18.52;Feb 17;221;152;61;0.6078
Erken;2;19.45;660.978;Nov 69;18.57;Feb 19;201;166;59;0.5714
Erken;2;22.24;76.617;11. Feb;18.59;Feb 14;215;161;63;0.6302
Erken;2;18.61;784.584;Nov 51;18. Jun;2;223;152;65;0.5956
Erken;2;21.26;671.571;Nov 74;18. Jun;Jan 89;249;160;12;0.597
Erken;2;63.45;155.736.675;11. Mai;19.34;Jan 55;854;541;303;0.9899
Erken;2;18.27;55.863;NA;18.43;0.91;188;146;64;0.5946
Erken;2;20.84;454.824;NA;18.46;03. Mär;209;126;56;0.5977
Erken;2;19.97;485.433;NA;18. Jul;Jan 33;105;68;23;0.5704
Erken;2;21.16;547.893;NA;18. Jul;Feb 13;112;66;25;0.6011
Erken;2;17.76;299.223;NA;18. Jul;01. Jun;66;42;15;0.5772
Erken;2;20.51;402.885;NA;18.68;03. Aug;102;60;20;0.5917
Erken;2;20.89;22.887;NA;18.48;0.96;203;155;62;0.604
